,地块编号,宗地位置,地块面积（平方米）,用途,限高,容积率,起始价格（万元）
232,郑政出〔2018〕152号（网）,凤凰路南、未来路西,12109.45,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜4",18789
233,郑政出〔2018〕153号（网）,凤凰路南、规划三路东,23726.24,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜4.3",37103
234,郑政出〔2018〕154号（网）,未来路西、凤凰路北,10316,零售商业、餐饮、旅馆兼容城镇住宅（地下空间用途为交通服务场站）,＜100,＜5.3,17774
235,郑政出〔2018〕155号（网）,郑新大道东、站马屯路南,81799.51,城镇住宅,＜100,＞1＜3.5,72614
236,郑政出〔2018〕150号（网）,莲花街南、川杨路东,51863.8,城镇住宅（地下交通服务场站用地）,＜100,＞1.1＜3.0,46121
237,郑政出〔2018〕151号（网）,莲花街南、川杨路西,48549.1,城镇住宅（地下交通服务场站用地）,＜80,＞1.1＜2.5,40921
238,郑政东出〔2018〕28号（网）,中道东路东、时埂街北,5843.61,商务金融用地,＜70,＜6.0,7100
239,郑政出〔2018〕146号（网）,书院街南、紫荆山路西,43968.03,零售商业、旅馆、餐饮兼容文化设施,＜12,＜1.0,43695
240,郑上出〔2018〕11号（网）,通航五路东侧、安阳路北侧,93643.23,商业兼容商务,＜45,＜2.5,21670
241,郑上出〔2018〕12号（网）,登封路西侧、白云路南侧,47846.72,城镇住宅兼容商服,＜45,＞1.0；  ＜2.0,13221
242,郑上出〔2018〕13号（网）,汝南路东侧、白云路南侧,50148.08,城镇住宅兼容商服,＜45,＞1.0；  ＜2.0,13856
243,郑上出〔2018〕14号（网）,310国道以南,17792.45,城镇住宅,＜60,＞1.0；  ＜2.0,1894
244,郑上出〔2018〕15号（网）,310国道以南,21529.83,商业,＜40,＜1.8,2830
245,郑政出〔2018〕144号（网）,洛河路北、文化宫路东,16426.66,城镇住宅,＜120,＞1.1， ＜5.1,28571
246,郑政出〔2018〕145号（网）,中原路南、文化宫路东,18899.23,商务金融兼容零售商业、餐饮、旅馆,＜300,＜10.7,44241
247,郑政出〔2018〕141号（网）,航海中路南、淮南街东,31844.71,城镇住宅兼容零售商业、餐饮、旅馆、商务金融（地下：交通服务场站）,＜150,＞1.1，＜6.7,52313
248,郑政出〔2018〕142号（网）,大学南路东、张魏寨路南,33258.73,城镇住宅（地下：交通服务场站）,＜120,＞1.1，＜5.7,49330
249,郑政出〔2018〕143号（网）,岗南路南、岗东路西,48358.11,城镇住宅,＜100,＞1.0，＜3.5,44746
250,郑政出〔2018〕137号（网）,夏璜街北、夏至路西,49045.59,城镇住宅（地下交通服务场站）,＜100,＞1.1，＜2.5,44572
