Column1,地块编号,宗地位置,地块面积（平方米）,用途,成交价格（万元）,受让单位
38,郑政出〔2019〕75号（网）,学府路南、爱民路西,74629.59,城镇住宅（地下交通服务场站用地）,90000.0,郑州德宸祥苑置业有限公司
256,郑政出〔2018〕89号,滨河路北、江山路东,50091.16,城镇住宅,41766.0,郑州德府瑞居置业有限公司
181,郑政出〔2018〕144号（网）,洛河路北、文化宫路东,16426.66,城镇住宅,28571.0,郑州帝景置业有限公司
182,郑政出〔2018〕145号（网）,中原路南、文化宫路东,18899.23,商务金融兼容零售商业、餐饮、旅馆,44241.0,郑州帝景置业有限公司
197,郑政出〔2018〕125号（网）,石化路南、魏庄西街东,16226.41,城镇住宅,21807.0,郑州鼎发置业有限公司
198,郑政出〔2018〕126号（网）,魏庄街南、魏庄东街西,38813.1,城镇住宅,52845.0,郑州鼎发置业有限公司
234,郑政出[2018]101号（网）,石化路南、二里岗街西,14872.8,城镇住宅,21017.0,郑州鼎发置业有限公司
242,郑政出[2018]93号（网）,二里岗南街南、魏庄西街东,20648.69,城镇住宅,28258.0,郑州鼎发置业有限公司
243,郑政出[2018]94号（网）,石化路南、城东路东,20106.5,城镇住宅、零售商业、餐饮、旅馆、商务金融,28128.0,郑州鼎发置业有限公司
244,郑政出[2018]95号（网）,二里岗南街南、魏庄西街西,11503.84,城镇住宅、零售商业、餐饮、旅馆,15404.0,郑州鼎发置业有限公司
186,郑政出[2018]15号（网）,310国道以南,21529.83,商业,2830.0,郑州方顶驿文化发展有限公司
131,郑政出〔2019〕10号（网）,思源路南、景中路西,34626.81,城镇住宅（地下交通服务场站用地）,31623.0,郑州高屋置业有限公司
22,郑政高出〔2019〕33号（网）,站北路北、雄鹰东路西,13091.5,城镇住宅（地下交通服务场站用地）,17152.0,郑州高新碧桂园房地产开发有限公司
267,郑政出[2018]72号（网）,化工路南、雄鹰东路东,35078.67,城镇住宅,29909.0,郑州高新碧桂园房地产开发有限公司
268,郑政出[2018]73号（网）,站北街北、湖西路西,38038.29,城镇住宅,32459.0,郑州高新碧桂园房地产开发有限公司
269,郑政出[2018]74号（网）,绿荫路东、新庄路北,28708.29,城镇住宅,23208.0,郑州高新碧桂园房地产开发有限公司
75,郑政高出〔2019〕11号（网）,枫香街南、金柏路东,10933.13,城镇住宅,10910.0,郑州高新建设集团有限公司
76,郑政高出〔2019〕12号（网）,枫香街南、红杉路西,39024.39,城镇住宅,38993.0,郑州高新建设集团有限公司
77,郑政高出〔2019〕13号（网）,杜兰街南、红杉路西,45915.05,城镇住宅,45857.0,郑州高新建设集团有限公司
114,郑政出[2019]32号（网）,郑少高速辅道南、景西一路东,41297.17,城镇住宅（地下交通服务场站）,41458.0,郑州国控西城建设有限公司
45,郑政东出〔2019〕8号（网）,育翔路北、夏庄街西,16239.94,地上：工业用地（新型工业用地）地下：交通服务场站用地,3650.0,郑州海康威视数字技术有限公司
6,郑政出〔2019〕92号（网）,雪松路东、高铁北路南,63143.61,城镇住宅（地下交通服务场站用地）,64478.0,郑州恒泓置业有限公司
149,郑政出〔2018〕165号（网）,郑峪路南、站前大道西,59486.4,城镇住宅（地下交通服务场站用地）,64603.0,郑州恒泓置业有限公司
150,郑政出〔2018〕166号（网）,高铁北路北、创文路西,28240.79,城镇住宅（地下交通服务场站用地）,30664.0,郑州恒泓置业有限公司
132,郑政出〔2019〕11号（网）,林荫南路东、同欣路南,20369.79,城镇住宅（地下交通服务场站用地）,17167.0,郑州华侨城文化旅游开发有限公司
134,郑政出〔2019〕9号（网）,中原西路北辅道北、中州路西,20058.87,商务金融兼容零售商业、批发市场、餐饮、旅馆用地（地下交通服务场站用地）,23108.0,郑州华侨城文化旅游开发有限公司
163,郑政出[2018]161号（网）,富贵路南、中州路西,36894.48,城镇住宅（地下交通服务场站用地）,37811.0,郑州华侨城文化旅游开发有限公司
164,郑政出[2018]162号（网）,富贵路南、中州路东,33348.66,城镇住宅（地下交通服务场站用地）,34150.0,郑州华侨城文化旅游开发有限公司
165,郑政出[2018]163号（网）,中原西路北辅道北、杭州路西,22060.31,商务金融兼容零售商业、餐饮、旅馆（地下空间用途为交通服务场站）,24820.0,郑州华侨城文化旅游开发有限公司
190,郑政出[2018]137号（网）,夏璜街北、夏至路西,49045.59,城镇住宅（地下交通服务场站）,44572.0,郑州华侨都市置业有限公司
191,郑政出[2018]138号（网）,夏璜街南、夏至路东,39793.43,城镇住宅（地下交通服务场站）,33975.0,郑州华侨都市置业有限公司
192,郑政出[2018]139号（网）,思勤江路南、立夏路西,38830.57,城镇住宅（地下交通服务场站）,33129.0,郑州华侨都市置业有限公司
193,郑政出[2018]140号（网）,夏璜街北、夏至路东,22718.37,文化设施用地（地下交通服务场站）,4619.0,郑州华侨都市置业有限公司
137,郑政出〔2018〕177号（网）,丰庆北路东、新龙路南,52879.97,城镇住宅（地下交通服务场站用地）,74228.0,郑州华瑞紫颖置业有限公司
